Cash & Cash_Equivalents,"2,993,041",Current_Liabilities,"702,619"
Accounts_Receivable,"487,230",Long-term_liabilities,"2,200"
Current_Asset,"111,299",Retained_earnings,"2,236,897"
"Property, Plant_and_Equipment","51,782",Total_Equity,"1,101,094"
無形固定資産,"7,005",AOCI,"7,638"
投資その他の資産,"400,091",-,0
